pmid,outcome,labels,full_text_attributes
30554073,"['overall survival (OS)', 'response rate', 'single-nucleotide polymorphisms (SNPs) of CCL5 and CCR5 genes']","['Mortality', 'Clinical', 'Clinical']","{'overall survival (OS)': ['29.7 months (evaluation cohort)', '24.8 months (control cohort)', '19.9 vs. 33.4 months', 'HR 1.56, 95% CI: 1.05–2.30, P=0.024', 'shorter OS compared to A/A variant', 'Significant differences in OS were observed among the three categories', 'P<0.001'], 'response rate': ['68 vs. 81%', 'P=0.078', 'poor tumor response', 'unfavorable for left-sided tumors', 'Significant differences in tumor response were observed among the three categories'], 'single-nucleotide polymorphisms (SNPs) of CCL5 and CCR5 genes': ['CCL5 rs2280789 G allele', 'CCR5 rs1799988 T/T variant favorable in right-sided tumors', 'CCR5 rs1799988 T allele unfavorable in left-sided tumors']}"
30552595,"['symptom-related use of health services', 'work-related productivity', 'Conventional Health Service and Productivity Costs Form', 'Health and Work Performance Questionnaire', 'hospital visits', 'relative absenteeism', 'absolute presenteeism']","['Life impact', 'Life impact', 'Resource use', 'Life impact', 'Resource use', 'Life impact', 'Life impact']","{'hospital visits': ['26% versus 40%, p = 0.050', 'OR=0.49; 95% CI [0.25, 0.97] (weighted/unadjusted), OR=0.35; 95% CI [0.16, 0.75] (unweighted/adjusted), OR=0.30; 95%CI [0.13, 0.66] (weighted/adjusted)'], 'relative absenteeism': ['control group patients had higher absenteeism (less productive)', '-0.32; 95% CI [-0.60, -0.03]'], 'absolute presenteeism': ['control group patients had lower absolute presenteeism (less productive)', '15.42; 95% CI [0.87, 29.98]']}"
30552531,"['Coping self-efficacy', 'Functional status', 'Depression', 'Quality of life', 'Adjustment']","['Life impact', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","{'Coping self-efficacy': ['more than a standard deviation below the remaining treatment participants, the control participants, and almost two standard deviations below the mean of the instrument', '−.31', 'accelerated at a greater rate than the control group', 'no differences in self-efficacy for coping scores', '.39 (95% CI: 0.044,0.728)'], 'Depression': ['F = 2.66, df = 3,126; p = .05'], 'Quality of life': ['.24 (95% CI: −0.102,0.578)'], 'Adjustment': ['F = 3.14, df = 3,121; p = .03', 'The advantage for the treatment relative to the control condition emerged at a SII frequency z-score of −.75 (i.e., .75 SDs below the mean) and increased for those treatment patients who had higher SII frequency scores.']}"
30544421,"['Number of harvested lymph nodes', ""Surgeon's surgical condition score"", ""Patient's sedation score"", 'peak inspiratory pressure', 'operation time', 'postoperative pain', 'morbidity']","['Clinical', 'Clinical', 'Clinical', 'Clinical', 'Resource use', 'Adverse Event', 'Adverse Event']",{}
30538099,"['risk of high-grade and low-grade prostate cancer', 'high-grade prostate cancer (Gleason score > 6)']","['Clinical', 'Clinical']","{'risk of high-grade and low-grade prostate cancer': ['no difference', '55% reduction of risk to develop high-grade prostate cancer when taking finasteride (RR=0.45, 95% C.I. [0.27,0.75])', 'decreased risk to develop low-grade prostate cancer when taking finasteride (RR=0.69, 95% C.I. [0.51,0.92])', '37% of PCPT participants whose risk of high-grade prostate cancer were decreased by finasteride (RR<1), and 26% of participants whose risk of high-grade prostate cancer were decreased by more than 25% (RR<0.75)'], 'high-grade prostate cancer (Gleason score > 6)': ['SNP-treatment interaction for high-grade prostate cancer is statistically significant (family-wise error rate 0.018 based on the permutation test)', 'men carrying GG genotype had a 55% reduction of risk to develop', 'substantially increased risk (RR=2.21)']}"
30531832,"['Progression-free survival (PFS)', 'Overall survival (OS)', 'Response rate', 'Duration of response (DOR)', 'Anaemia', 'Neutropenia', 'Haematopoietic cytopenias', 'Discontinuation due to adverse events (AEs)']","['Mortality', 'Mortality', 'Clinical', 'Clinical', 'Clinical', 'Adverse Event', 'Adverse Event', 'Adverse Event']","{'Progression-free survival (PFS)': ['12 vs 11 months (veliparib vs placebo) [HR = 0.94 (95% CI: 0.60, 1.48)] at primary analysis', '12 vs 11 months (veliparib vs placebo) [HR = 0.91 (95% CI: 0.60, 1.41)] at final analysis', '13 months (veliparib with bevacizumab), 14 months (placebo with bevacizumab)', '10 months (veliparib without bevacizumab), 8 months (placebo without bevacizumab)'], 'Overall survival (OS)': ['25 vs 27 months (veliparib vs placebo) [HR = 1.26 (95% CI: 0.74, 2.16)]', '26 months (veliparib with bevacizumab), 27 months (placebo with bevacizumab)', '25 months (veliparib without bevacizumab)'], 'Response rate': ['57% for veliparib treatment group', '62% for placebo group'], 'Duration of response (DOR)': ['median 11 months for veliparib', 'median 9 months for placebo'], 'Anaemia': ['39% vs 19%', 'p = 0.019'], 'Neutropenia': ['66% vs 37%', 'p = 0.001', '59% vs 22%', 'p < 0.001'], 'Haematopoietic cytopenias': ['79% vs 52%', 'p = 0.003'], 'Discontinuation due to adverse events (AEs)': ['14% in the veliparib arm, 15% in the placebo arm']}"
30528653,"['acute lower GI RTOG toxicity', 'Key secondary endpoints: patient-reported outcomes and late toxicity', 'G2+ lower GI toxicity-free rates', 'cumulative proportion', 'RTOG G2+ GI toxicity', 'RTOG G2+ bladder toxicity: PO group 5.1%, P&P group 5.6%']","['Adverse Event', 'Life impact', 'Adverse Event', 'Adverse Event', 'Adverse Event', 'Adverse Event']","{'cumulative proportion': ['124 participants', '62 PO, 62 P&P', 'The cumulative proportion of RTOG G2+ GI toxicity at 2 years was 16.9% (95% CI; 8.9%-30.9%) and 24.0 (95% CI, 8.4%-57.9%) in the PO and P&P groups, respectively.', 'RTOG G2+ bladder toxicity at 2 years: PO group 5.1% (95% CI, 1.7%-14.9%), P&P group 5.6% (95% CI, 1.8%-16.7%)'], 'G2+ lower GI toxicity-free rates': ['96.7% (90% CI, 90.0%-99.4%) in PO group', '95.2% (90% CI, 88.0%-98.7%) in P&P group'], 'RTOG G2+ GI toxicity': ['7% in PO group', '25% in P&P group', 'similar across treatment groups', 'The cumulative proportion of RTOG G2+ GI toxicity at 2 years was 16.9% (95% CI; 8.9%-30.9%) and 24.0 (95% CI, 8.4%-57.9%) in the PO and P&P groups, respectively.'], 'Key secondary endpoints: patient-reported outcomes and late toxicity': ['The Gulliford scoring system indicated that at 24 months, the majority of patients experienced no problem with their overall bowel habits (94 of 119), with 8% (10 of 119) reporting a moderate-to-severe problem', 'similar bowel symptoms according to the IBDQ bowel score', 'IBDQ bowel scores remained similar over time for both treatment groups'], 'RTOG G2+ bladder toxicity: PO group 5.1%, P&P group 5.6%': ['PO group 5.1% (95% CI, 1.7%-14.9%), P&P group 5.6% (95% CI, 1.8%-16.7%)']}"
30528222,['pain response'],['Clinical'],"{'pain response': [""{'cabozantinib': 15, 'mitoxantrone-prednisone': 17, 'difference': -2, 'p-value': 0.8}"", '82% of patients completed pain assessments at all three time points', '70% complete narcotic use data', '69% complete pain plus narcotic use data', '26% difference in bone scan response at week 12 per IRC (cabozantinib: 31%, mitoxantrone-prednisone: 5.2%), 95% CI: 13–39%']}"
30527787,"['proportion of clinically significant prostate cancer detected by each method', 'Gleason pattern ≥3+4=7, maximum cancer core length ≥4mm (primary outcome)', 'Gleason pattern ≥4+3=7, maximum cancer core length ≥6mm (secondary outcome)']","['Clinical', 'Clinical', 'Clinical']","{'proportion of clinically significant prostate cancer detected by each method': [], 'Gleason pattern ≥3+4=7, maximum cancer core length ≥4mm (primary outcome)': [], 'Gleason pattern ≥4+3=7, maximum cancer core length ≥6mm (secondary outcome)': []}"
30526533,"['Log hazard of distant recurrences during 10 years of follow-up', 'C-index for predictive performance evaluation']","['Clinical', 'Clinical']","{'Log hazard of distant recurrences during 10 years of follow-up': ['88% (86–91)', '75% (72–77)', '65% (62–67)', '36% (33–40)'], 'C-index for predictive performance evaluation': [""{'Age at diagnosis (< 35 vs. ≥35 years)': '0.502'}"", ""{'Tumor size (> 20 vs. ≤20 mm)': '0.557'}"", ""{'Positive vs. negative lymph nodes': '0.587'}""]}"
30521075,"['HNC-specific physical symptom burden', 'Symptom interference', 'Patient depressive symptoms', 'Spouse depressive symptoms', 'Cancer-specific distress']","['Clinical', 'Life impact', 'Life impact', 'Life impact', 'Life impact']","{'Patient depressive symptoms': ['5 patients had psychiatric histories significant for depression.', 'p<.05', '-0.84 (medium effect size), 95% CI=-1.59 to -0.10'], 'HNC-specific physical symptom burden': ['Over 30% of patients reported moderate to severe (≥5 of 10) pain, fatigue, and disturbed sleep; 20–30% reported moderate to severe dry mouth and swallowing problems.', 'less severe HNC-specific symptoms at T1', '7% of patients in SHARE reported more severe physical symptoms compared to 47% of patients in UMC'], 'Spouse depressive symptoms': ['significantly higher anxiety at T0 than spouses receiving UMC (t=3.07, p=.005)', '83% improvement in high depression levels with SHARE, none worsened; 66% unchanged, 33% worsened with UMC (χ2=6.75, p=.03)'], 'Cancer-specific distress': ['27% for patients', '47% for spouses', 'p=.01', '-1.05 (large effect size), 95% CI=-1.81 to -0.28'], 'Symptom interference': ['significant difference by treatment group (p=.01) with a medium effect size in favor of SHARE (d=−.86, 95% CI=−1.61 to −.11)', '27% of patients in SHARE reported no change and 53% reported less symptom interference (MDASI) at T1. In UMC, 40% of patients reported no change and 47% reported greater symptom interference']}"
30519577,"['Multidimensional vocal assessments', 'Surgery time', 'Three-year overall survival rates']","['Clinical', 'Resource use', 'Mortality']","{'Surgery time': ['LTP-RFA required significantly less surgery time (8.83±1.59 minutes, p<0.00001)', 'CO2-LS (12.49±1.40 minutes)', 'CO2-LS group (17.3±4.6 seconds), the LTP-RFA group had a nonsignificantly higher MPT (19.0±5.1 seconds) (p=0.63)'], 'Three-year overall survival rates': ['94% in the CO2-LS group', '96% in the LTP-RFA group'], 'Multidimensional vocal assessments': ['At 6 months post-treatment, about 50% of patients had normal patterns in both groups; CO2-LS group: glottal closure (51%), mucosal wave (41%), symmetry (35%); LTP-RFA group: glottal closure (67%), mucosal wave (60%), symmetry (41%)', 'Grade=1.3', 'Breathiness=1.0', 'V-RQOL (89.6±6.5 versus 93.5±6.9, p=0.71)', 'VHI (16.4±2.4 versus 15.3±3.0, p=0.55)', 'jitter (%)', 'shimmer (%)', 'NHR (dB)']}"
30506519,"['Overall survival (OS)', 'Progression-free survival (PFS)', 'Objective response rate (ORR)']","['Mortality', 'Mortality', 'Clinical']","{'Overall survival (OS)': ['5.4 months (95% CI 4.6–7.4) vs 3.6 months (95% CI 2.8–5.0); HR 0.58, 95% CI 0.42–0.78; p = 0.0002', 'median OS, 6.14 months', '5.3 versus 2.8 months [HR 0.57, 95% CI 0.31–1.05] in patients with prior ramucirumab treatment', '5.5 versus 3.9 months [HR 0.65, 95% CI 0.46–0.92] in patients without prior ramucirumab treatment'], 'Progression-free survival (PFS)': ['median PFS was 1.7 months (95% CI 1.6–2.8) in the nivolumab group versus 1.5 months (95% CI 1.5–1.6) in the placebo group', 'The 6-month PFS rate was higher in the nivolumab versus placebo group (19.0%, 95% CI 13.0–25.9 versus 6.2%, 95% CI 2.0–13.7)', 'HR 0.53, 95% CI 0.39–0.72; p < 0.0001', '3.0 versus 1.4 months [HR 0.39, 95% CI 0.21–0.72] in patients with prior ramucirumab treatment', '1.6 versus 1.5 months [HR 0.64, 95% CI 0.45–0.90] in patients without prior ramucirumab treatment'], 'Objective response rate (ORR)': ['22.2% [6/27] in patients with prior ramucirumab treatment', '11.8% [12/102] in patients without prior ramucirumab treatment']}"
30502933,"['Cause-specific mortality', 'Incidence of colorectal cancer', 'Tumour staging']","['Mortality', 'Clinical', 'Clinical']","{'Incidence of colorectal cancer': ['significantly lower in the intervention arm compared to usual care (RR=0·82; 95%CI 0·76–0·88) with close to 3 fewer cases diagnosed per 10000 PY (RD=2·78; 95%CI 1·82 – 3·74)', 'risks of incident CRC in the intervention arm were lower in both men (RR=0·77; 95%CI 0·70–0·84) and women (RR=0·89; 95%CI 0·80–0·99), but the reduction was significantly larger in men (pinteraction=0’04)', 'The RRs for incidence were similar by age at enrollment; RR=0·79 (95%CI 0·72–0·88) in those aged 65-74 and RR=0·85 (95%CI 0·77–0·93) in those aged 55-64 (pinteraction=0·35)', 'distal tumors: men RR=0·65; 95%CI 0·57–0·74, women RR=0·83; 95%CI 0·70–0·98', 'difference in distal tumors diagnosed comparing usual care arm to intervention: men 3·49 (95%CI 2·43 – 4·55) per 10000 PY, women 0·87 (95%CI 0·10 – 1·64) per 10000 PY', 'proximal CRC incidence not significantly reduced for either men or women', 'age group 55-64: males RR=0·79; 95%CI 0·70–0·90, females RR=0·92; 95%CI 0·80–1·07', 'cumulative number of CRC cases has continued to be higher in the usual care arm compared to the intervention arm, overall and for both distal and proximal tumors', 'RR=0·72; 95%CI 0·64–0·82 (5-10 years)', 'RR=0·90; 95%CI 0·72–1·13 (15-21 years)', '17.0% reduction in stage I tumors', '29.0% reduction in stage IV tumors'], 'Cause-specific mortality': ['CRC overall RR=0·75; 95% CI 0·66–0·85', 'distal tumors RR=0·51; 95% CI 0·41–0·63', 'proximal tumors RR=0·95; 95%CI 0·79—1 −14', 'cumulative number of CRC deaths remained higher in the usual care arm compared to the intervention arm over 20 years of follow-up'], 'Tumour staging': ['14.7% reduction in mortality for stage I tumors', '30.4% reduction in mortality for stage IV tumors', 'p=0·02 significant difference for distal tumors']}"
30502785,"['change from baseline in FKSI-DRS score', ""FKSI item 'I am bothered by side effects of treatment'"", 'EuroQol five-dimensional questionnaire utility score', 'adverse events']","['Clinical', 'Adverse Event', 'Life impact', 'Adverse Event']","{'change from baseline in FKSI-DRS score': ['correlation: 0.31 (Trial 1), 0.28 (Trial 2); P < 0.05 for both', '−0.62-point decrease (worsening) for fatigue in Trial 1', '−0.74-point decrease (worsening) for asthenia in Trial 2'], ""FKSI item 'I am bothered by side effects of treatment'"": ['slopes: 1.26 (Trial 1), 1.20 (Trial 2); P < 0.05 for both'], 'EuroQol five-dimensional questionnaire utility score': [], 'adverse events': ['fatigue, diarrhea, nausea, dysgeusia, palmar-plantar erythrodysesthesia syndrome, anorexia, hypertension, decreased appetite, asthenia, weight decreased, rash, vomiting, arthralgia, and dyspepsia']}"
30501974,"['Recurrence rates', 'Time to first recurrence', 'Cumulative recurrence rates at 3, 5 and 7 years']","['Clinical', 'Clinical', 'Clinical']","{'Recurrence rates': ['low-dose: 11, high-dose: 10', '<9% at 8 years', '1.5% with 1.1 GBq', '2.1% with 3.7 GBq', '1.5% at 3 years', '2.1% at 5 years', '5.0% at 7 years', '0.5% for 1.1 GBq versus 1.1% for 3.7 GBq at 3 years', '1.1% versus 1.7% at 5 years', '4.9% versus 6.3% at 7 years', 'not associated with more recurrences', '7.1% (low-dose), 9.1% (high-dose) for intermediate-risk patients', '4.1% (low-dose), 2.1% (high-dose) for low-risk patients', '1.1% for 1.1 GBq versus 1.1% for 3.7 GBq at 3 years', '3.7% versus 5.5% at 7 years', 'rhTSH: 1.5% at 3 years', 'thyroid hormone withdrawal: 2.1% at 3 years', 'rhTSH: 2.1% at 5 years', 'thyroid hormone withdrawal: 2.7% at 5 years', 'rhTSH: 8.3% at 7 years', 'thyroid hormone withdrawal: 5.0% at 7 years', '3.4% (low dose), 5.3% (high dose) in papillary thyroid cancer', '6.0% (low dose), 2.3% (high dose) in follicular and Hürthle cell cancers'], 'Time to first recurrence': ['1·3 years', '6 months to 7 years'], 'Cumulative recurrence rates at 3, 5 and 7 years': ['3 years: 1.5% vs 2.1%', '5 years: 2.1% vs 2.7%', '7 years: 5.9% vs 7.3%', '1.1% for 1.1 GBq versus 1.1% for 3.7 GBq', '1.1% versus 1.7%', '3.7% versus 5.5%', 'rhTSH: 1.5%, thyroid hormone withdrawal: 2.1% at 3 years', 'rhTSH: 2.1%, thyroid hormone withdrawal: 2.7% at 5 years', 'rhTSH: 8.3%, thyroid hormone withdrawal: 5.0% at 7 years']}"
